"REF_DATE","GEO","DGUID","Statistical Area Classification (SAC)","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","New Brunswick","2021A000213","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","5.6.2","142071","","","","0"
"2021","New Brunswick","2021A000213","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.6.3","125798","","","","0"
"2021","New Brunswick","2021A000213","Strongly influenced","Population, 2021","","0","units","0","","5.7.1","61119","","","","0"
"2021","New Brunswick","2021A000213","Strongly influenced","Total private dwellings, 2021","","0","units","0","","5.7.2","30802","","","","0"
"2021","New Brunswick","2021A000213","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.7.3","26455","","","","0"
"2021","New Brunswick","2021A000213","Moderately influenced","Population, 2021","","0","units","0","","5.8.1","153777","","","","0"
"2021","New Brunswick","2021A000213","Moderately influenced","Total private dwellings, 2021","","0","units","0","","5.8.2","77333","","","","0"
"2021","New Brunswick","2021A000213","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.8.3","68652","","","","0"
"2021","New Brunswick","2021A000213","Weakly influenced","Population, 2021","","0","units","0","","5.9.1","68360","","","","0"
"2021","New Brunswick","2021A000213","Weakly influenced","Total private dwellings, 2021","","0","units","0","","5.9.2","32706","","","","0"
"2021","New Brunswick","2021A000213","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.9.3","29675","","","","0"
"2021","New Brunswick","2021A000213","Not influenced","Population, 2021","","0","units","0","","5.10.1","2304","","","","0"
"2021","New Brunswick","2021A000213","Not influenced","Total private dwellings, 2021","","0","units","0","","5.10.2","1230","","","","0"
"2021","New Brunswick","2021A000213","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.10.3","1016","","","","0"
"2021","New Brunswick","2021A000213","Territories","Population, 2021","","0","units","0","","5.11.1","0","","","","0"
"2021","New Brunswick","2021A000213","Territories","Total private dwellings, 2021","","0","units","0","","5.11.2","0","","","","0"
"2021","New Brunswick","2021A000213","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.11.3","0","","","","0"
"2021","Quebec","2021A000224","All census subdivisions","Population, 2021","","0","units","0","","6.1.1","8501833","","","","0"
"2021","Quebec","2021A000224","All census subdivisions","Total private dwellings, 2021","","0","units","0","","6.1.2","4050164","","","","0"
"2021","Quebec","2021A000224","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.1.3","3749035","","","","0"
"2021","Quebec","2021A000224","Within CMAs","Population, 2021","","0","units","0","","6.2.1","6136400","","","","0"
"2021","Quebec","2021A000224","Within CMAs","Total private dwellings, 2021","","0","units","0","","6.2.2","2825276","","","","0"
"2021","Quebec","2021A000224","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.2.3","2676585","","","","0"
"2021","Quebec","2021A000224","Within CAs","Population, 2021","","0","units","0","","6.3.1","817111","","","","0"
"2021","Quebec","2021A000224","Within CAs","Total private dwellings, 2021","","0","units","0","","6.3.2","405022","","","","0"
"2021","Quebec","2021A000224","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.3.3","379455","","","","0"
"2021","Quebec","2021A000224","Within tracted CAs","Population, 2021","","0","units","0","","6.4.1","150813","","","","0"
"2021","Quebec","2021A000224","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","6.4.2","72575","","","","0"
"2021","Quebec","2021A000224","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.4.3","69057","","","","0"
"2021","Quebec","2021A000224","Within non-tracted CAs","Population, 2021","","0","units","0","","6.5.1","666298","","","","0"
"2021","Quebec","2021A000224","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","6.5.2","332447","","","","0"
"2021","Quebec","2021A000224","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.5.3","310398","","","","0"
"2021","Quebec","2021A000224","Outside CMAs/CAs","Population, 2021","","0","units","0","","6.6.1","1548322","","","","0"
"2021","Quebec","2021A000224","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","6.6.2","819866","","","","0"
"2021","Quebec","2021A000224","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.6.3","692995","","","","0"
"2021","Quebec","2021A000224","Strongly influenced","Population, 2021","","0","units","0","","6.7.1","702134","","","","0"
"2021","Quebec","2021A000224","Strongly influenced","Total private dwellings, 2021","","0","units","0","","6.7.2","360417","","","","0"
"2021","Quebec","2021A000224","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.7.3","308811","","","","0"
"2021","Quebec","2021A000224","Moderately influenced","Population, 2021","","0","units","0","","6.8.1","606752","","","","0"
"2021","Quebec","2021A000224","Moderately influenced","Total private dwellings, 2021","","0","units","0","","6.8.2","337718","","","","0"
"2021","Quebec","2021A000224","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.8.3","280048","","","","0"
"2021","Quebec","2021A000224","Weakly influenced","Population, 2021","","0","units","0","","6.9.1","210256","","","","0"
"2021","Quebec","2021A000224","Weakly influenced","Total private dwellings, 2021","","0","units","0","","6.9.2","105739","","","","0"
"2021","Quebec","2021A000224","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.9.3","92814","","","","0"
"2021","Quebec","2021A000224","Not influenced","Population, 2021","","0","units","0","","6.10.1","29180","","","","0"
"2021","Quebec","2021A000224","Not influenced","Total private dwellings, 2021","","0","units","0","","6.10.2","15992","","","","0"
"2021","Quebec","2021A000224","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.10.3","11322","","","","0"
"2021","Quebec","2021A000224","Territories","Population, 2021","","0","units","0","","6.11.1","0","","","","0"
"2021","Quebec","2021A000224","Territories","Total private dwellings, 2021","","0","units","0","","6.11.2","0","","","","0"
"2021","Quebec","2021A000224","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","6.11.3","0","","","","0"
"2021","Ontario","2021A000235","All census subdivisions","Population, 2021","","0","units","0","","7.1.1","14223942","","","","0"
"2021","Ontario","2021A000235","All census subdivisions","Total private dwellings, 2021","","0","units","0","","7.1.2","5929250","","","","0"
"2021","Ontario","2021A000235","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.1.3","5491201","","","","0"
"2021","Ontario","2021A000235","Within CMAs","Population, 2021","","0","units","0","","7.2.1","11742189","","","","0"
"2021","Ontario","2021A000235","Within CMAs","Total private dwellings, 2021","","0","units","0","","7.2.2","4704411","","","","0"
"2021","Ontario","2021A000235","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.2.3","4458075","","","","0"
"2021","Ontario","2021A000235","Within CAs","Population, 2021","","0","units","0","","7.3.1","1057651","","","","0"
"2021","Ontario","2021A000235","Within CAs","Total private dwellings, 2021","","0","units","0","","7.3.2","489612","","","","0"
"2021","Ontario","2021A000235","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.3.3","452549","","","","0"
"2021","Ontario","2021A000235","Within tracted CAs","Population, 2021","","0","units","0","","7.4.1","246059","","","","0"
"2021","Ontario","2021A000235","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","7.4.2","116360","","","","0"
"2021","Ontario","2021A000235","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.4.3","108179","","","","0"
"2021","Ontario","2021A000235","Within non-tracted CAs","Population, 2021","","0","units","0","","7.5.1","811592","","","","0"
"2021","Ontario","2021A000235","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","7.5.2","373252","","","","0"
"2021","Ontario","2021A000235","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.5.3","344370","","","","0"
"2021","Ontario","2021A000235","Outside CMAs/CAs","Population, 2021","","0","units","0","","7.6.1","1424102","","","","0"
"2021","Ontario","2021A000235","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","7.6.2","735227","","","","0"
"2021","Ontario","2021A000235","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.6.3","580577","","","","0"
"2021","Ontario","2021A000235","Strongly influenced","Population, 2021","","0","units","0","","7.7.1","728549","","","","0"
"2021","Ontario","2021A000235","Strongly influenced","Total private dwellings, 2021","","0","units","0","","7.7.2","334403","","","","0"
"2021","Ontario","2021A000235","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.7.3","285655","","","","0"
"2021","Ontario","2021A000235","Moderately influenced","Population, 2021","","0","units","0","","7.8.1","459950","","","","0"
"2021","Ontario","2021A000235","Moderately influenced","Total private dwellings, 2021","","0","units","0","","7.8.2","283080","","","","0"
"2021","Ontario","2021A000235","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.8.3","197385","","","","0"
"2021","Ontario","2021A000235","Weakly influenced","Population, 2021","","0","units","0","","7.9.1","213947","","","","0"
"2021","Ontario","2021A000235","Weakly influenced","Total private dwellings, 2021","","0","units","0","","7.9.2","108689","","","","0"
"2021","Ontario","2021A000235","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.9.3","90573","","","","0"
"2021","Ontario","2021A000235","Not influenced","Population, 2021","","0","units","0","","7.10.1","21656","","","","0"
"2021","Ontario","2021A000235","Not influenced","Total private dwellings, 2021","","0","units","0","","7.10.2","9055","","","","0"
"2021","Ontario","2021A000235","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.10.3","6964","","","","0"
"2021","Ontario","2021A000235","Territories","Population, 2021","","0","units","0","","7.11.1","0","","","","0"
"2021","Ontario","2021A000235","Territories","Total private dwellings, 2021","","0","units","0","","7.11.2","0","","","","0"
"2021","Ontario","2021A000235","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","7.11.3","0","","","","0"
"2021","Manitoba","2021A000246","All census subdivisions","Population, 2021","","0","units","0","","8.1.1","1342153","","","","0"
"2021","Manitoba","2021A000246","All census subdivisions","Total private dwellings, 2021","","0","units","0","","8.1.2","571528","","","","0"
"2021","Manitoba","2021A000246","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.1.3","518054","","","","0"
"2021","Manitoba","2021A000246","Within CMAs","Population, 2021","","0","units","0","","8.2.1","834678","","","","0"
"2021","Manitoba","2021A000246","Within CMAs","Total private dwellings, 2021","","0","units","0","","8.2.2","347144","","","","0"
"2021","Manitoba","2021A000246","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.2.3","330326","","","","0"
"2021","Manitoba","2021A000246","Within CAs","Population, 2021","","0","units","0","","8.3.1","131034","","","","0"
"2021","Manitoba","2021A000246","Within CAs","Total private dwellings, 2021","","0","units","0","","8.3.2","54072","","","","0"
"2021","Manitoba","2021A000246","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.3.3","50802","","","","0"
"2021","Manitoba","2021A000246","Within tracted CAs","Population, 2021","","0","units","0","","8.4.1","0","","","","0"
"2021","Manitoba","2021A000246","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","8.4.2","0","","","","0"
"2021","Manitoba","2021A000246","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.4.3","0","","","","0"
"2021","Manitoba","2021A000246","Within non-tracted CAs","Population, 2021","","0","units","0","","8.5.1","131034","","","","0"
"2021","Manitoba","2021A000246","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","8.5.2","54072","","","","0"
"2021","Manitoba","2021A000246","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.5.3","50802","","","","0"
"2021","Manitoba","2021A000246","Outside CMAs/CAs","Population, 2021","","0","units","0","","8.6.1","376441","","","","0"
"2021","Manitoba","2021A000246","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","8.6.2","170312","","","","0"
"2021","Manitoba","2021A000246","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.6.3","136926","","","","0"
"2021","Manitoba","2021A000246","Strongly influenced","Population, 2021","","0","units","0","","8.7.1","96554","","","","0"
"2021","Manitoba","2021A000246","Strongly influenced","Total private dwellings, 2021","","0","units","0","","8.7.2","41222","","","","0"
"2021","Manitoba","2021A000246","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.7.3","33915","","","","0"
"2021","Manitoba","2021A000246","Moderately influenced","Population, 2021","","0","units","0","","8.8.1","108830","","","","0"
"2021","Manitoba","2021A000246","Moderately influenced","Total private dwellings, 2021","","0","units","0","","8.8.2","57142","","","","0"
"2021","Manitoba","2021A000246","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.8.3","42504","","","","0"
"2021","Manitoba","2021A000246","Weakly influenced","Population, 2021","","0","units","0","","8.9.1","138839","","","","0"
"2021","Manitoba","2021A000246","Weakly influenced","Total private dwellings, 2021","","0","units","0","","8.9.2","60612","","","","0"
"2021","Manitoba","2021A000246","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.9.3","51566","","","","0"
"2021","Manitoba","2021A000246","Not influenced","Population, 2021","","0","units","0","","8.10.1","32218","","","","0"
"2021","Manitoba","2021A000246","Not influenced","Total private dwellings, 2021","","0","units","0","","8.10.2","11336","","","","0"
"2021","Manitoba","2021A000246","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.10.3","8941","","","","0"
"2021","Manitoba","2021A000246","Territories","Population, 2021","","0","units","0","","8.11.1","0","","","","0"
"2021","Manitoba","2021A000246","Territories","Total private dwellings, 2021","","0","units","0","","8.11.2","0","","","","0"
"2021","Manitoba","2021A000246","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","8.11.3","0","","","","0"
"2021","Saskatchewan","2021A000247","All census subdivisions","Population, 2021","","0","units","0","","9.1.1","1132505","","","","0"
"2021","Saskatchewan","2021A000247","All census subdivisions","Total private dwellings, 2021","","0","units","0","","9.1.2","513725","","","","0"
"2021","Saskatchewan","2021A000247","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.1.3","449581","","","","0"
"2021","Saskatchewan","2021A000247","Within CMAs","Population, 2021","","0","units","0","","9.2.1","566697","","","","0"
"2021","Saskatchewan","2021A000247","Within CMAs","Total private dwellings, 2021","","0","units","0","","9.2.2","242840","","","","0"
"2021","Saskatchewan","2021A000247","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.2.3","225311","","","","0"
"2021","Saskatchewan","2021A000247","Within CAs","Population, 2021","","0","units","0","","9.3.1","180382","","","","0"
"2021","Saskatchewan","2021A000247","Within CAs","Total private dwellings, 2021","","0","units","0","","9.3.2","80466","","","","0"
"2021","Saskatchewan","2021A000247","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.3.3","73196","","","","0"
"2021","Saskatchewan","2021A000247","Within tracted CAs","Population, 2021","","0","units","0","","9.4.1","0","","","","0"
"2021","Saskatchewan","2021A000247","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","9.4.2","0","","","","0"
"2021","Saskatchewan","2021A000247","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.4.3","0","","","","0"
"2021","Saskatchewan","2021A000247","Within non-tracted CAs","Population, 2021","","0","units","0","","9.5.1","180382","","","","0"
"2021","Saskatchewan","2021A000247","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","9.5.2","80466","","","","0"
"2021","Saskatchewan","2021A000247","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.5.3","73196","","","","0"
"2021","Saskatchewan","2021A000247","Outside CMAs/CAs","Population, 2021","","0","units","0","","9.6.1","385426","","","","0"
"2021","Saskatchewan","2021A000247","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","9.6.2","190419","","","","0"
"2021","Saskatchewan","2021A000247","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.6.3","151074","","","","0"
"2021","Saskatchewan","2021A000247","Strongly influenced","Population, 2021","","0","units","0","","9.7.1","41586","","","","0"
"2021","Saskatchewan","2021A000247","Strongly influenced","Total private dwellings, 2021","","0","units","0","","9.7.2","23557","","","","0"
"2021","Saskatchewan","2021A000247","Strongly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.7.3","16654","","","","0"
"2021","Saskatchewan","2021A000247","Moderately influenced","Population, 2021","","0","units","0","","9.8.1","136279","","","","0"
"2021","Saskatchewan","2021A000247","Moderately influenced","Total private dwellings, 2021","","0","units","0","","9.8.2","67811","","","","0"
"2021","Saskatchewan","2021A000247","Moderately influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.8.3","54222","","","","0"
"2021","Saskatchewan","2021A000247","Weakly influenced","Population, 2021","","0","units","0","","9.9.1","140701","","","","0"
"2021","Saskatchewan","2021A000247","Weakly influenced","Total private dwellings, 2021","","0","units","0","","9.9.2","65943","","","","0"
"2021","Saskatchewan","2021A000247","Weakly influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.9.3","54820","","","","0"
"2021","Saskatchewan","2021A000247","Not influenced","Population, 2021","","0","units","0","","9.10.1","66860","","","","0"
"2021","Saskatchewan","2021A000247","Not influenced","Total private dwellings, 2021","","0","units","0","","9.10.2","33108","","","","0"
"2021","Saskatchewan","2021A000247","Not influenced","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.10.3","25378","","","","0"
"2021","Saskatchewan","2021A000247","Territories","Population, 2021","","0","units","0","","9.11.1","0","","","","0"
"2021","Saskatchewan","2021A000247","Territories","Total private dwellings, 2021","","0","units","0","","9.11.2","0","","","","0"
"2021","Saskatchewan","2021A000247","Territories","Private dwellings occupied by usual residents, 2021","","0","units","0","","9.11.3","0","","","","0"
"2021","Alberta","2021A000248","All census subdivisions","Population, 2021","","0","units","0","","10.1.1","4262635","","","","0"
"2021","Alberta","2021A000248","All census subdivisions","Total private dwellings, 2021","","0","units","0","","10.1.2","1772670","","","","0"
"2021","Alberta","2021A000248","All census subdivisions","Private dwellings occupied by usual residents, 2021","","0","units","0","","10.1.3","1633220","","","","0"
"2021","Alberta","2021A000248","Within CMAs","Population, 2021","","0","units","0","","10.2.1","3124615","","","","0"
"2021","Alberta","2021A000248","Within CMAs","Total private dwellings, 2021","","0","units","0","","10.2.2","1279206","","","","0"
"2021","Alberta","2021A000248","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","10.2.3","1201223","","","","0"
"2021","Alberta","2021A000248","Within CAs","Population, 2021","","0","units","0","","10.3.1","385351","","","","0"
"2021","Alberta","2021A000248","Within CAs","Total private dwellings, 2021","","0","units","0","","10.3.2","165882","","","","0"
"2021","Alberta","2021A000248","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","10.3.3","149849","","","","0"
